BibTeX_Key,Reference_Number,Authors,Title,Year,Bibliographic_Details,DOI,DOI_URL,Traceability_Group,Group_Label,Traceability_Cluster,Cluster_Label
r123,123,W. Shang and B. Wang and P. Zhu and L. Ding and S. Wang,A Span-based Multivariate Information-aware Embedding Network for joint relational triplet extraction of threat intelligence,2024,"Knowledge-Based Systems, vol. 295, pp. 111829",\url{https://doi.org/10.1016/j.knosys.2024.111829.},https://doi.org/\url{https://doi.org/10.1016/j.knosys.2024.111829.},G4,Representation and semantics,S4,Sectoral or contextualized taxonomies and ontologies
r124,124,E. Jollès and S. Gillard and D. Percia David and M. Strohmeier and A. Mermoud,Building Collaborative Cybersecurity for Critical Infrastructure Protection: Empirical Evidence of Collective Intelligence Information Sharing Dynamics on ThreatFox - Critical Information Infrastructures Security,2023,"Springer Nature Switzerland, pp. 140--157",10.1007/978-3-031-35190-7_10,https://doi.org/10.1007/978-3-031-35190-7_10,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r125,125,H. C. Nguyen and S. Tariq and M. Baruwal Chhetri and B. Q. Vo,Towards Effective Identification of Attack Techniques in Cyber Threat Intelligence Reports using Large Language Models,2025,"Association for Computing Machinery, Inc, pp. 942 - 946",10.1145/3701716.3715469,https://doi.org/10.1145/3701716.3715469,G4,Representation and semantics,S3,TTP-oriented and attack-chain-oriented representations
r126,126,F. Perrina and F. Marchiori and M. Conti and N. V. Verde,AGIR: Automating Cyber Threat Intelligence Reporting with Natural Language Generation,2023,"Institute of Electrical and Electronics Engineers Inc., pp. 3053 - 3062",10.1109/BigData59044.2023.10386116,https://doi.org/10.1109/BigData59044.2023.10386116,G4,Representation and semantics,S2,Semantic entity and relation models
r127,127,W. Al-Sharu and M. K. Qabalin and M. Naser and O. A. Saraerh,A Secure Framework for Blockchain Transactions Protection,2023,"Computer Systems Science and Engineering, vol. 45, pp. 1095 - 1111, 2023, doi: 10.32604/csse, 032862",,,G2,Technical artifacts,T2,Operational sharing and dissemination
r128,128,A. Sleem and I. M. El-Henawy,Enhancing Cyber Threat Intelligence Sharing through a Privacy-Preserving Federated Learning Approach,2022,"Journal of Cybersecurity and Information Management, vol. 9, pp. 51 - 59",10.54216/JCIM.090205,https://doi.org/10.54216/JCIM.090205,G2,Technical artifacts,T6,Operational consumption and integration
r129,129,W. Maina and L. Nderu and T. Mwalili,A Smart Contract Approach to Cyber Threat Intelligence Sharing in Kenya,2022,Institute of Electrical and Electronics Engineers Inc,10.23919/IST-Africa56635.2022.9845603,https://doi.org/10.23919/IST-Africa56635.2022.9845603,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r130,130,S. L. Schröer and J. D. Seideman and S. Luo and G. Apruzzese and S. Dietrich and P. Laskov,Using a Stack to Find an AI Needle: Topic Modeling for Cyber Threat Intelligence,2025,Digital Threats,10.1145/3766908,https://doi.org/10.1145/3766908,G1,Conceptual artifacts,C3,Operationalization of the CTI cycle and SOC/IR integration
r131,131,S. Samtani and W. Li and V. Benjamin and H. Chen,Informing Cyber Threat Intelligence through Dark Web Situational Awareness: The AZSecure Hacker Assets Portal,2021,"Digital Threats, vol. 2",10.1145/3450972,https://doi.org/10.1145/3450972,G2,Technical artifacts,T6,Operational consumption and integration
r132,132,M. Allegretta and G. Siracusano and R. Gonzalez and M. Gramaglia,Are crowd-sourced CTI datasets ready for supporting anti-cybercrime intelligence?,2023,"Computer Networks, vol. 234, pp. 109920",\url{https://doi.org/10.1016/j.comnet.2023.109920.},https://doi.org/\url{https://doi.org/10.1016/j.comnet.2023.109920.},G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r133,133,Y. Zhou and Y. Zhang and Q. Yang and Y. Liu and C. Rong and Z. Tian,A blockchain based efficient incentive mechanism in tripartite cyber threat intelligence service marketplace,2025,"Blockchain: Research and Applications, vol. 6, pp. 100263",\url{https://doi.org/10.1016/j.bcra.2024.100263.},https://doi.org/\url{https://doi.org/10.1016/j.bcra.2024.100263.},G2,Technical artifacts,T2,Operational sharing and dissemination
r134,134,H. A. Ali and W. J. Buchanan and J. Ahmad and M. Abubakar and M. S. Khan and I. Wadhaj,TrustShare: Secure and Trusted Blockchain Framework for Threat Intelligence Sharing,2025,"Future Internet, vol. 17",10.3390/fi17070289,https://doi.org/10.3390/fi17070289,G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r135,135,A. El-Kosairy and H. K. Aslan and N. Abdelbaki,Transforming Cybersecurity: Leveraging Blockchain for Enhanced Threat Intelligence Sharing,2024,"International Journal of Safety and Security Engineering, vol. 14, pp. 1139 - 1155, doi: 10.18280/ijsse. 140412",,,G2,Technical artifacts,T2,Operational sharing and dissemination
r136,136,B. Wen and X. Xing and G. Wang,RTB-RM: A Blockchainenabled System for Reliable and Transparent CTI Sharing with Multidimensional Reputation Model,2024,"Institute of Electrical and Electronics Engineers Inc., pp. 1399 - 1404",10.1109/CSCWD61410.2024.10580557,https://doi.org/10.1109/CSCWD61410.2024.10580557,G2,Technical artifacts,T2,Operational sharing and dissemination
r137,137,S. Mohammed and S. Nanthini and N. Balakrishna and I. V. Srinivas and M. Rajagopal and A. K. M,A new lightweight data security system for data security in the cloud computing,2023,"Measurement: Sensors, vol. 29",10.1016/j.measen.2023.100856,https://doi.org/10.1016/j.measen.2023.100856,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r138,138,K. Dunnett and S. Pal and Z. Jadidi and R. Jurdak,A Blockchain-Based Framework for Scalable and Trustless Delegation of Cyber Threat Intelligence,2023,Institute of Electrical and Electronics Engineers Inc,10.1109/ICBC56567.2023.10174885,https://doi.org/10.1109/ICBC56567.2023.10174885,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r139,139,K. Dunnett and S. Pal and Z. Jadidi and G. D. Putra and R. Jurdak,A Democratically Anonymous and Trusted Architecture for CTI Sharing using Blockchain,2022,"Proceedings - International Conference on Computer Communications and Networks, ICCCN, vol. 2022",10.1109/ICCCN54977.2022.9868919,https://doi.org/10.1109/ICCCN54977.2022.9868919,G2,Technical artifacts,T2,Operational sharing and dissemination
r140,140,X. Zhang and X. Miao and M. Xue,A Reputation-Based Approach Using Consortium Blockchain for Cyber Threat Intelligence Sharing,2022,"Security and Communication Networks, vol. 2022",10.1155/2022/7760509,https://doi.org/10.1155/2022/7760509,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r141,141,D. L. Tran and others,FedChain: A Collaborative Framework for Building Artificial Intelligence Models using Blockchain and Federated Learning,2021,"Institute of Electrical and Electronics Engineers Inc., pp. 149 - 154",10.1109/NICS54270.2021.9701450,https://doi.org/10.1109/NICS54270.2021.9701450,G2,Technical artifacts,T2,Operational sharing and dissemination
r142,142,M. N. Halgamuge,Malicious Data Traceability and Throughput Optimization Using Blockchain (IOTA Smart Contracts) for Next Generation Internet of Vehicles,2024,"IEEE Transactions on Vehicular Technology, vol. 73, pp. 18102-18119",10.1109/TVT.2024.3432807,https://doi.org/10.1109/TVT.2024.3432807,G1,Conceptual artifacts,C5,Sectoral and compliance-oriented models and architectures
r143,143,K. Gai and Y. She and L. Zhu and K.-K. R. Choo and Z. Wan,A Blockchain-Based Access Control Scheme for Zero Trust Cross-Organizational Data Sharing,2023,"ACM Trans. Internet Technol., vol. 23",10.1145/3511899,https://doi.org/10.1145/3511899,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r144,144,P. I. Radoglou-Grammatikis and others,"ELECTRON: An Architectural Framework for Securing the Smart Electrical Grid with Federated Detection, Dynamic Risk Assessment and Self-Healing - Proceedings of the 18th International Conference on Availability, Reliability and Security",2023,Association for Computing Machinery,10.1145/3600160.3605161,https://doi.org/10.1145/3600160.3605161,G3,Interoperability,I4,Ecosystem-oriented interoperability
r145,145,M. Kumar and G. Epiphaniou and C. Maple,SPM-SeCTIS: Severity Pattern Matching for Secure Computable Threat Information Sharing in Intelligent Additive Manufacturing,2024,"Internet of Things, vol. 28, pp. 101334",\url{https://doi.org/10.1016/j.iot.2024.101334.},https://doi.org/\url{https://doi.org/10.1016/j.iot.2024.101334.},G4,Representation and semantics,S1,Taxonomies for terminological standardization and classification
r146,146,P. Huff and S. Massengale and T. V. X. Phuong and S. N. G. Gourisetti,"A Privacy-Preserving Cyber Threat Intelligence Sharing System - 2024 IEEE 6th International Conference on Trust, Privacy and Security in Intelligent Systems, and Applications (TPS-ISA)",2024,pp. 49-58,10.1109/TPS-ISA62245.2024.00016,https://doi.org/10.1109/TPS-ISA62245.2024.00016,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r147,147,B. Putz and M. Vielberth and G. Pernul,"BISCUIT - Blockchain Security Incident Reporting based on Human Observations - Proceedings of the 17th International Conference on Availability, Reliability and Security",2022,Association for Computing Machinery,10.1145/3538969.3538984,https://doi.org/10.1145/3538969.3538984,G2,Technical artifacts,T2,Operational sharing and dissemination
r148,148,L. M. Nitz et al,On Collaboration and Automation in the Context of Threat Detection and Response with Privacy-Preserving Features,2025,"Digital Threats, vol. 6",10.1145/3707651,https://doi.org/10.1145/3707651,G2,Technical artifacts,T2,Operational sharing and dissemination
r149,149,N. Ozawa and S. Sunahara and S. Hagihara,Evaluation Criteria for Explainable AI in Intrusion Detection to Ensure the Creation of High-Quality Threat Intelligence - Proceedings of the 2025 14th International Conference on Software and Computer Applications,2025,"Association for Computing Machinery, pp. 60--66",10.1145/3731806.3731817,https://doi.org/10.1145/3731806.3731817,G3,Interoperability,I1,Standardized CTI models and formats
r150,150,M. S. Rahman and S. Pal and Z. Jadidi and C. K. Karmakar,Robust Cyber Threat Intelligence Sharing Using Federated Learning for Smart Grids,2025,"IEEE Transactions on Computational Social Systems, vol. 12, pp. 635 - 644",10.1109/TCSS.2024.3496746,https://doi.org/10.1109/TCSS.2024.3496746,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r151,151,M. Dietz and D. Schlette and G. Pernul,"Harnessing Digital Twin Security Simulations for systematic Cyber Threat Intelligence - 2022 IEEE 46th Annual Computers, Software, and Applications Conference (COMPSAC)",2022,pp. 789-797,10.1109/COMPSAC54236.2022.00129,https://doi.org/10.1109/COMPSAC54236.2022.00129,G4,Representation and semantics,S2,Semantic entity and relation models
r152,152,Y. Chen and J. Ding and D. Li and Z. Chen,Joint BERT Model based Cybersecurity Named Entity Recognition - Proceedings of the 2021 4th International Conference on Software Engineering and Information Management,2021,"Association for Computing Machinery, pp. 236--242",10.1145/3451471.3451508,https://doi.org/10.1145/3451471.3451508,G2,Technical artifacts,T6,Operational consumption and integration
r153,153,M. Sheikhalishahi and A. Saracino and F. Martinelli and A. la Marra,Privacy preserving data sharing and analysis for edge-based architectures,2022,"International Journal of Information Security, vol. 21, pp. 79 - 101",10.1007/s10207-021-00542-x,https://doi.org/10.1007/s10207-021-00542-x,G4,Representation and semantics,S1,Taxonomies for terminological standardization and classification
r154,154,S. Samtani and M. Kantarcioglu and H. Chen,"A Multi-Disciplinary Perspective for Conducting Artificial Intelligence-enabled Privacy Analytics: Connecting Data, Algorithms, and Systems",2021,"ACM Trans. Manage. Inf. Syst., vol. 12",10.1145/3447507,https://doi.org/10.1145/3447507,G2,Technical artifacts,T2,Operational sharing and dissemination
r155,155,D. R. Arikkat and M. Cihangiroglu and M. Conti and K. A. R. Rehiman and S. Nicolazzo and A. Nocera and others,SeCTIS: A framework to Secure CTI Sharing,2025,"FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE, vol. 164",10.1016/j.future.2024.107562,https://doi.org/10.1016/j.future.2024.107562,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
